,mop/agnostic,mop/specific,ps1c/best agnostic,ps1c/best specific,ps3cl/best agnostic,ps3cl/best specific,best agnostic/ctw,best specific/ctw
max,40.19731109892963,20.79028908935699,17.774686870645,13.784834003595197,6.731586486166306,4.387810545380517,5.192939069628619,16.777810941031
min,2.416863843866058,0.8732596967655318,1.38896560794371,0.1371669778391103,0.5055200079927717,0.12735449305950158,0.7271161208897321,0.7743247637191296
avg,10.025373646868298,6.194705591061705,5.838415877444312,3.9012096149940008,2.4158178744194974,1.5439031363358937,1.876671915075298,4.098267372264495
med,8.30782999191608,4.7896870482537,5.805019923057047,2.7926934568164925,2.120873558450473,1.413493663342294,1.6371903355201796,2.5376387711278214
