,mop-agnostic,mop-specific,ps1c-best agnostic,ps1c-best specific,ps3cl-best agnostic,ps3cl-best specific,best agnostic-ctw,best specific-ctw
max,7812.846,7992.603999999999,7564.943000000001,7848.009,3228.975,3512.0409999999997,395.87199999999996,1658.4270000000001
min,98.594,-51.543000000000006,23.659999999999997,-1503.4460000000001,-455.33299999999997,-1872.6170000000002,-257.72900000000004,-103.41500000000002
avg,2225.2511515151514,1975.9127424242424,1340.118484848485,1090.7800757575758,399.1213787878788,149.7829696969697,99.1519696969697,348.4903787878788
med,1761.7330000000002,1596.744,1047.5529999999999,857.549,264.63949999999994,116.86900000000001,85.1505,211.61499999999998
sum,146866.57600000006,130410.241,88447.82000000004,71991.48499999997,26342.011,9885.676000000003,6544.030000000001,23000.365
