sha,offline time,online time,instr all time,instr project time
98a630c13f92205a33f680a65ebdbb082ce4db16,4878,74471,71791,2198
5709ce05ce73d027198328607541635b8d840a8e,4475,66602,63924,1797
76e782c2169e262ec589e84fdf65eb41c7cfc51b,4006
b26e90463806200780702d37d4e4cc89f5b7387c,3954
afbca2c3a13d89ba6305c3a84d241615e91fab5d,3468,7224,4857,1101
9245c99cbeffb442b4d26fa89b9d9b695f5c2d34,3183
88a0df67aff053b4cf2d076584e331695f0db928,3390
cc7c44f3cfd852d5304120b09e721f073d25bce4,4119,121886,119653,1886
6fd98073b0cdbdde1fdb8d0b1a629eca418ae1e5,1295
24ff951dd143207ab1954de04d86cd952de323b3,3216,122387,120086,915
cfb9b8934f52ef6ea5155b54d9ca56e2cab5ab88,3402,7352,5091,1141
580435633284e30f5d3ab0395762f5775ae9ad9d,3169,121119,118803,853
6752dc0f49f2c552e8aa5906b722f5c40e26ea0e,2250,68596,66346,0
a1346250fa41bcdb214b828ad108c6687f9339c3,3435,70973,68721,1183
ed0e73b898717fdc1e2de7bb88c7e80d1bcc704e,4485
1f31390318a84fe3f717a6f6e0c841fa6cd9eb7e,1781
1031dc668b45081f1de6a4c5ae216fce2f0f1b75,1752
