8045d9459af361c9560931dfb5523f9fb00b6990,0,23644,0,3479,0,126638,0,115091,0,116501,0,117980,0,109977,0,270422,0,260118,0,173010,0,268000,0,264845,0,165473,0,166990,0,166510,0,284877,0,266745,0,270946,0,186526,0,170773,0,169334
930c6819bb1e419cf0ecf00582abf2553e131aac,0,4529,0,3471,0,114467,0,3017,0,2614,0,8096,0,56533,0,7360,0,7147,0,7019,0,1662,0,1769,0,7208,0,1671,0,1733,0,28050,0,3710,0,5444,0,27789,0,3725,0,5500
d4d887825ce4380123f50f0545abe1d26852a7e4,0,5921,0,3469,0,119266,0,5295,0,5173,0,30890,0,58976,0,62450,0,37774,0,54125,0,26415,0,24615,0,38252,0,26535,0,23184,0,47597,0,24372,0,18286,0,45654,0,25545,0,18856
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,0,6021,0,3475,0,111510,0,117578,0,116120,0,7959,0,70779,0,12347,0,11401,0,11584,0,11764,0,11604,0,11547,0,11149,0,11412,0,31664,0,10178,0,10973,0,31476,0,8734,0,10758
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,0,5582,0,3406,0,113591,0,119366,0,115626,0,7335,0,13725,0,101850,0,37765,0,32344,0,24767,0,26618,0,22145,0,18912,0,19688,0,30685,0,20361,0,9925,0,27100,0,18264,0,9814
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,0,14646,0,3530,0,123428,0,125156,0,126238,0,106609,0,103358,0,368206,0,366344,0,477423,0,373368,0,373056,0,384049,0,381345,0,381962,0,605092,0,83525,0,54003,0,672103,0,84705,0,30242
269699bd434e41988eec3dd3ad8856be8059a00a,0,9171,0,3536,0,124220,0,129599,0,126358,0,11160,0,52357,0,370858,0,334621,0,422434,0,152532,0,154271,0,369194,0,171698,0,175122,0,476575,0,37328,0,13052,0,485724,0,46131,0,12850
3860ffaa7dca47a9be908d96cfbdca676cd08b79,0,6008,0,3483,0,135176,0,137285,0,123533,0,86111,0,109071,0,262749,0,266480,0,60365,0,194021,0,189197,0,58972,0,49126,0,47954,0,468080,0,20896,0,56333,0,390822,0,20631,0,28371
5a0a54c1309690a5324350f470fa22ebb6611b9e,0,5819,0,3464,0,123940,0,129572,0,130878,0,8589,0,50247,0,15239,0,8108,0,12057,0,7998,0,8108,0,8165,0,8640,0,8101,0,349602,0,9912,0,10655,0,348967,0,9395,0,10858
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,0,5634,0,3504,0,123200,0,131894,0,127729,0,7605,0,55324,0,22177,0,6947,0,22806,0,6706,0,6819,0,6479,0,6773,0,6608,0,349950,0,22265,0,11427,0,363949,0,14391,0,10710
80ac5c3277b3f4859d70549f953d42fa23114ccd,0,5751,0,3530,0,131377,0,133051,0,130554,0,49868,0,79352,0,266869,0,65445,0,64904,0,30109,0,30287,0,40823,0,29824,0,28049,0,357938,0,29414,0,17314,0,366077,0,30876,0,16549
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,0,5579,0,3612,0,128019,0,130636,0,127683,0,8183,0,22039,0,146102,0,70779,0,94304,0,50647,0,51170,0,62141,0,50090,0,50600,0,401011,0,53730,0,10340,0,395138,0,54531,0,10658
71bb14207ebdae703d6e5cbfa1f55b20bb353910,0,6811,0,3601,0,135979,0,5470,0,5484,0,7715,0,21816,0,352815,0,310093,0,79343,0,285092,0,284146,0,49770,0,50599,0,52611,0,719316,0,11830,0,9334,0,493528,0,11257,0,9506
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,0,4840,0,3583,0,129580,0,53048,0,8516,0,7931,0,23255,0,7058,0,7397,0,7008,0,7004,0,7252,0,7011,0,7198,0,7197,0,345065,0,9873,0,11033,0,351652,0,9785,0,11169
f849afeedc714d79bf86b8aa74b8683a55942eff,0,15784,0,4561,0,129934,0,5576,0,5559,0,12554,0,28508,0,337444,0,55614,0,350468,0,39174,0,41672,0,43120,0,42533,0,38839,0,485293,0,13399,0,12564,0,482356,0,13230,0,12671
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,0,9177,0,4523,0,131239,0,136597,0,138461,0,28601,0,39925,0,346836,0,350152,0,366410,0,320398,0,322776,0,346265,0,318221,0,324328,0,777468,0,59170,0,28112,0,784530,0,59023,0,28526
c499c395cef38f9bb4b52d157bc336bff0644b94,0,32250,0,4411,0,136337,0,133520,0,135797,0,66862,0,63613,0,390231,0,344458,0,488496,0,298803,0,299866,0,393562,0,338073,0,347009,0,636292,0,61515,0,30285,0,685586,0,69565,0,30901
7290786e82db354f1d310c599f84150a7ec0ef8b,0,31067,0,4536,0,128626,0,140745,0,131445,0,11902,0,11622,0,370496,0,99389,0,424815,0,70581,0,72583,0,45481,0,38349,0,39063,0,432180,0,20623,0,13964,0,406743,0,20544,0,13844
0882294f8a6100fe81b73a714357477c12172f87,0,6504,0,4439,0,133588,0,78288,0,12232,0,9448,0,11131,0,8318,0,8025,0,8006,0,8173,0,8281,0,8188,0,8373,0,8258,0,399273,0,11182,0,12845,0,383420,0,11272,0,13038
